concurso,data,numeros,numeros_str,arrecadacao,ganhadores_20,ganhadores_19,ganhadores_18,ganhadores_17,ganhadores_16,ganhadores_0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
1,2000-01-01,"[6, 7, 14, 16, 21, 22, 23, 25, 40, 42, 55, 57, 59, 73, 74, 78, 83, 84, 89, 93]",06-07-14-16-21-22-23-25-40-42-55-57-59-73-74-78-83-84-89-93,14638530,0,26,217,1826,12706,3,6,7,14,16,21,22,23,25,40,42,55,57,59,73,74,78,83,84,89,93
2,2000-01-03,"[1, 2, 5, 10, 22, 24, 27, 31, 34, 43, 44, 46, 47, 50, 64, 65, 85, 86, 94, 96]",01-02-05-10-22-24-27-31-34-43-44-46-47-50-64-65-85-86-94-96,9126365,0,17,88,1495,11459,5,1,2,5,10,22,24,27,31,34,43,44,46,47,50,64,65,85,86,94,96
3,2000-01-05,"[0, 5, 45, 48, 50, 55, 56, 62, 63, 66, 71, 76, 80, 81, 84, 86, 87, 88, 93, 94]",00-05-45-48-50-55-56-62-63-66-71-76-80-81-84-86-87-88-93-94,15855208,3,37,132,1658,13514,7,0,5,45,48,50,55,56,62,63,66,71,76,80,81,84,86,87,88,93,94
4,2000-01-07,"[8, 9, 10, 11, 17, 23, 31, 32, 38, 39, 42, 43, 49, 51, 64, 70, 76, 86, 98, 99]",08-09-10-11-17-23-31-32-38-39-42-43-49-51-64-70-76-86-98-99,8327308,3,8,177,1353,6601,5,8,9,10,11,17,23,31,32,38,39,42,43,49,51,64,70,76,86,98,99
5,2000-01-10,"[8, 16, 17, 22, 39, 46, 50, 52, 66, 67, 71, 73, 80, 84, 85, 86, 89, 90, 94, 95]",08-16-17-22-39-46-50-52-66-67-71-73-80-84-85-86-89-90-94-95,11479495,3,20,260,1030,13587,8,8,16,17,22,39,46,50,52,66,67,71,73,80,84,85,86,89,90,94,95
6,2000-01-12,"[8, 12, 14, 16, 17, 20, 22, 26, 27, 29, 35, 55, 59, 64, 65, 70, 73, 84, 90, 99]",08-12-14-16-17-20-22-26-27-29-35-55-59-64-65-70-73-84-90-99,9608850,2,40,155,1708,6745,7,8,12,14,16,17,20,22,26,27,29,35,55,59,64,65,70,73,84,90,99
7,2000-01-14,"[7, 10, 15, 20, 21, 31, 33, 37, 38, 39, 61, 70, 78, 80, 88, 89, 91, 92, 93, 95]",07-10-15-20-21-31-33-37-38-39-61-70-78-80-88-89-91-92-93-95,12336174,2,45,170,565,13897,3,7,10,15,20,21,31,33,37,38,39,61,70,78,80,88,89,91,92,93,95
8,2000-01-17,"[6, 13, 16, 22, 25, 32, 44, 46, 52, 55, 58, 60, 61, 71, 72, 79, 81, 88, 90, 94]",06-13-16-22-25-32-44-46-52-55-58-60-61-71-72-79-81-88-90-94,7771641,2,37,274,1016,14936,4,6,13,16,22,25,32,44,46,52,55,58,60,61,71,72,79,81,88,90,94
9,2000-01-19,"[4, 6, 11, 24, 33, 38, 40, 43, 44, 48, 59, 65, 67, 74, 75, 78, 82, 85, 86, 95]",04-06-11-24-33-38-40-43-44-48-59-65-67-74-75-78-82-85-86-95,16906380,0,42,279,1106,12492,10,4,6,11,24,33,38,40,43,44,48,59,65,67,74,75,78,82,85,86,95
10,2000-01-21,"[5, 27, 28, 35, 36, 42, 48, 49, 59, 60, 61, 77, 78, 81, 85, 86, 87, 88, 90, 94]",05-27-28-35-36-42-48-49-59-60-61-77-78-81-85-86-87-88-90-94,18129856,1,30,128,1090,7648,6,5,27,28,35,36,42,48,49,59,60,61,77,78,81,85,86,87,88,90,94
